id,customer_id,date,name,ssn
22794,31182,2025-01-01,Tom Halsz,957109944.0
103542,47773,2025-01-01,Caroline Valetkevitcho,350615419.0
106278,2309,2025-01-01,Ryanz,491803802.0
18642,15303,2025-01-01,Emmottg,799756293.0
46686,6914,2025-01-01,Jont,683178939.0
47478,31191,2025-01-01,Nate Raymondd,60189691.0
131550,1085,2025-01-01,Carewh,240167049.0
54198,5513,2025-01-01,Olivia Oranw,618912082.0
128166,12511,2025-01-01,Melaniet,87149721.0
62586,11801,2025-01-01,Suvashree Deyy,849489283.0
104250,16726,2025-01-01,Nadia Damounio,807735861.0
13398,38595,2025-01-01,Kaorip,596842916.0
142338,15018,2025-01-01,Billp,750949700.0
126138,21015,2025-01-01,Andrew Longstrethm,100501817.0
47322,9904,2025-01-01,Malonev,286290244.0
151542,13599,2025-01-01,Woodallm,497637268.0
74910,34496,2025-01-01,Patrick Temple-Westk,176638953.0
103206,16794,2025-01-01,Doug Palmerh,589093413.0
14562,40809,2025-01-01,Seetharamanh,880464570.0
104082,39139,2025-01-01,Annika Breidthardts,785617804.0
141246,12736,2025-01-01,Woodalle,628301467.0
53946,45023,2025-01-01,Leigh Thomasm,584226688.0
8286,18132,2025-01-01,Chann,38098528.0
62874,44691,2025-01-01,Leah Schnurrl,319772947.0
43482,9491,2025-01-01,Leikav,470353931.0
96810,42522,2025-01-01,Marton Dunaig,52733081.0
34698,14190,2025-01-01,Palmerz,84311205.0
139170,26905,2025-01-01,Marck,962280931.0
34938,34772,2025-01-01,David Millikenw,135149967.0
7242,44625,2025-01-01,Josephine Masonz,82174774.0
65814,47462,2025-01-01,Reddalln,750139718.0
12378,1061,2025-01-01,Hossein Jasebg,846763543.0
47130,22943,2025-01-01,Mihir Dalalg,482973703.0
112182,5403,2025-01-01,Allison Martelln,224453294.0
99210,3814,2025-01-01,Benc,743663711.0
36942,43819,2025-01-01,Richard Leongp,559253277.0
109350,6302,2025-01-01,Pj,129461641.0
36066,36742,2025-01-01,Rochap,561676184.0
76854,18069,2025-01-01,Timothy Gardnerr,486942198.0
78990,29562,2025-01-01,Toml,643544901.0
55062,3188,2025-01-01,Helen Massy-Beresfordq,474284743.0
119286,37203,2025-01-01,Jamesf,582139967.0
7758,3153,2025-01-01,Danv,269337962.0
87162,28844,2025-01-01,Jonasx,285034644.0
51678,3196,2025-01-01,Valentina Zam,188415955.0
74094,41838,2025-01-01,Walterh,640302701.0
111450,33856,2025-01-01,Reidu,815070908.0
96486,10975,2025-01-01,Lianah,187908599.0
29094,16152,2025-01-01,Carolinez,309957818.0
107934,40380,2025-01-01,Gabrielq,578883585.0
70794,15712,2025-01-01,Georgeu,127223098.0
35478,1803,2025-01-01,Gillesp,729674171.0
116598,41886,2025-01-01,Nick Brownb,822969212.0
14430,21523,2025-01-01,Erinx,148387097.0
151062,33077,2025-01-01,Padraic Halpind,939557203.0
38754,42935,2025-01-01,Cruzu,52147505.0
126954,17506,2025-01-01,Rodrigoc,771799880.0
147258,5794,2025-01-01,Liana B.g,73142342.0
24642,15614,2025-01-01,Lioneli,330784673.0
39090,28329,2025-01-01,Alexu,17931533.0
18570,25763,2025-01-01,Harichb,420368896.0
63762,8835,2025-01-01,Bartr,786140940.0
151134,27265,2025-01-01,Gardneri,97106675.0
30042,16177,2025-01-01,Rigbym,208562917.0
16686,11405,2025-01-01,Susanr,657320636.0
80886,26141,2025-01-01,Jimm,128261433.0
68718,43441,2025-01-01,Ronaldo,43169013.0
74166,43933,2025-01-01,Stempell,976878587.0
137250,7887,2025-01-01,Strobeld,512452310.0
20682,13364,2025-01-01,"Eileen OGrady""t",431105110.0
151806,41203,2025-01-01,Sabac,2848699.0
39906,17737,2025-01-01,Lionel Laurenty,116498748.0
9486,39876,2025-01-01,Brs,644429017.0
106002,39976,2025-01-01,enjamin Kangr,109175486.0
45018,23689,2025-01-01,Matthiasf,451968636.0
101454,24738,2025-01-02,Lionel Laurents,397433071.0
82350,37237,2025-01-02,Alistaira,805749060.0
96690,26463,2025-01-02,Alistairw,466587914.0
115170,47559,2025-01-02,Koh Guil,708661961.0
19998,19260,2025-01-02,Praveen Menony,525421729.0
123414,25908,2025-01-02,Silvia Aloisit,987978169.0
37602,14448,2025-01-02,Mikeh,758171797.0
78978,41616,2025-01-02,Richard Cowanb,498025560.0
136410,11790,2025-01-02,Zao,215574977.0
105174,6733,2025-01-02,Adegokei,56479727.0
105750,24539,2025-01-02,Sakari Suoninenz,859096348.0
12018,17236,2025-01-02,Euanv,895487601.0
6858,46765,2025-01-02,Jamiec,584604961.0
34854,38970,2025-01-02,Lynchh,866487201.0
68970,34492,2025-01-02,Milesi,796041973.0
142926,43798,2025-01-02,Dan Wilchinsj,98908046.0
75918,7821,2025-01-02,Katyaw,545448112.0
29406,8414,2025-01-02,McCoolb,446114496.0
10614,32945,2025-01-02,Lauram,769654167.0
54954,24105,2025-01-02,Adrian Krajewskit,984685298.0
114042,35491,2025-01-02,Lisaf,588364233.0
46482,38205,2025-01-02,Ny,884632579.0
154974,1616,2025-01-02,Raymondn,487659318.0
26598,46443,2025-01-02,Leee,188193911.0
108990,10282,2025-01-02,Williamsd,818672718.0
43878,11991,2025-01-02,Axm,852799264.0
62850,2999,2025-01-02,Chuck Mikolajczakf,780640604.0
89730,44631,2025-01-02,Braden Reddallg,649362502.0
108834,32845,2025-01-02,Johni,201522520.0
121998,25175,2025-01-02,Katharinak,270426819.0
102522,45258,2025-01-02,Lopezo,320747615.0
11550,16844,2025-01-02,Economics Correspondento,823142329.0
151470,1364,2025-01-02,arbarab,320642724.0
111858,6897,2025-01-02,Susant,650819563.0
7662,7779,2025-01-02,Aileen Wangy,341751132.0
16182,14665,2025-01-02,Scotto,908890498.0
39930,7605,2025-01-02,Dennya,88311690.0
89814,45715,2025-01-02,Pascals,59064253.0
68814,41985,2025-01-02,Katharinar,85040051.0
56634,19921,2025-01-02,Lionel Laurentm,92622632.0
129270,34235,2025-01-02,Chanb,549778639.0
37170,17540,2025-01-02,Allisonq,725126374.0
42714,10892,2025-01-02,Saliou Sambj,180059282.0
36702,41590,2025-01-02,Rinkey,789123913.0
135354,41810,2025-01-02,Leah Schnurrp,17804174.0
27294,17882,2025-01-02,ernief,826093759.0
63594,19967,2025-01-02,Stella Dawsonq,464423681.0
130758,8966,2025-01-02,George Georgiopoulosh,260242546.0
131634,45967,2025-01-02,Koh Guib,76837903.0
61926,31538,2025-01-02,Kentarom,461941279.0
125514,49669,2025-01-02,Bertonq,198868137.0
152154,41253,2025-01-02,Strupczewskil,506455493.0
134622,46831,2025-01-02,Andrew Cawthornet,874216811.0
102966,22471,2025-01-02,Jonathany,76999914.0
129510,6346,2025-01-02,Seetharamank,300105653.0
14274,12411,2025-01-02,Lisa Baertleiny,782049961.0
18726,13142,2025-01-02,Henryl,50917855.0
30654,50327,2025-01-02,Huw Jonesj,899998662.0
92022,6459,2025-01-02,Guiy,44370803.0
130806,9510,2025-01-02,Marques Janemand,504866575.0
40782,30879,2025-01-02,Megan Daviesy,54666794.0
116682,31405,2025-01-02,Jimr,679123204.0
56670,19584,2025-01-02,Johnz,328345200.0
48822,48208,2025-01-02,Brownn,538299544.0
143670,6445,2025-01-02,Skariachanc,994289986.0
62274,39558,2025-01-02,Pettyi,279402641.0
25086,13714,2025-01-03,Dominique Vidalonc,711418889.0
33534,50081,2025-01-03,Gaffenr,64964304.0
92034,34170,2025-01-03,Matthiasq,763451480.0
109770,11438,2025-01-03,Dunaiu,204725496.0
91806,37156,2025-01-03,James Tophamk,723632577.0
11094,26102,2025-01-03,Rachelle Younglais,489783488.0
123162,32691,2025-01-03,Callusk,810958044.0
14898,4068,2025-01-03,Sarah McBriden,75639119.0
97530,11557,2025-01-03,Maria Sheahanb,877325574.0
16050,6115,2025-01-03,Jasonb,838113561.0
75678,34875,2025-01-03,Jessica Wohlg,436256139.0
18054,15542,2025-01-03,Davenportj,918414565.0
24750,47403,2025-01-03,LaCapraq,501272873.0
61974,39770,2025-01-03,Andreat,178770439.0
59118,13518,2025-01-03,Ethan Bilbyr,284145932.0
119094,23612,2025-01-03,Seetharamanz,506315199.0
32838,4483,2025-01-03,Barlyna,972423182.0
71550,45319,2025-01-03,Lukek,191991702.0
144750,34723,2025-01-03,Miyoung Kimt,980076877.0
82890,14560,2025-01-03,Natek,385086442.0
140118,20996,2025-01-03,Kiml,503204145.0
53502,16911,2025-01-03,Suchitra Mohantyz,750757327.0
53562,30033,2025-01-03,Busvinel,926038333.0
103050,26960,2025-01-03,Clarkej,22356033.0
95082,34597,2025-01-03,Jessicai,992372937.0
54270,9720,2025-01-03,Wilchinsc,309785676.0
131454,13449,2025-01-03,Patrickk,779558375.0
150570,45081,2025-01-03,Steve Slatery,328528554.0
134046,6216,2025-01-03,Glennl,766425182.0
64362,44258,2025-01-03,Greg Roumeliotisd,444336428.0
43626,32983,2025-01-03,Sharpw,181479455.0
133542,7854,2025-01-03,Golubkoval,403635439.0
91194,26668,2025-01-03,Mike Dolanl,327008482.0
13230,11926,2025-01-03,Carolinex,735577317.0
6054,39828,2025-01-03,Bri,734547098.0
40146,18532,2025-01-03,Patrickt,231652394.0
136590,26079,2025-01-03,David Ingramu,276553567.0
93150,17874,2025-01-03,Charlesh,548909826.0
144726,4327,2025-01-03,Carewj,94896380.0
45858,42404,2025-01-03,Silkel,810651317.0
107310,22645,2025-01-03,Scottr,789700408.0
124170,4612,2025-01-03,Lashg,741783585.0
11214,6131,2025-01-03,Ronald Groverk,33086622.0
11250,23985,2025-01-03,Herbertm,418302017.0
126594,3788,2025-01-03,Papadimase,248561152.0
93390,27268,2025-01-03,imarte Walterx,670408222.0
51558,39244,2025-01-03,Lianae,592277551.0
105390,36481,2025-01-03,Mattc,220463071.0
74970,42516,2025-01-03,Pauli,174107823.0
52806,46383,2025-01-03,Desain,764124443.0
92382,49590,2025-01-03,Kerbert,191907135.0
142026,21239,2025-01-03,Lesley Wroughtonw,813177302.0
24570,3201,2025-01-03,Skariachanm,554343994.0
140430,13276,2025-01-03,Johnn,363008931.0
18102,44273,2025-01-03,Manoj Kumarl,176529533.0
124698,11051,2025-01-03,Mennc,216655815.0
114690,28173,2025-01-03,Mincerg,705316855.0
77874,46661,2025-01-03,Michaele,331759263.0
19002,40556,2025-01-03,Kirstin Ridleya,82400447.0
71406,28072,2025-01-03,Caroline Valetkevitchu,566956703.0
99006,41268,2025-01-03,Leikan,707426251.0
106542,11959,2025-01-03,Danielj,292205574.0
47094,25709,2025-01-03,Sophie Sassardg,660740810.0
152454,41468,2025-01-03,Karenh,547999537.0
92262,47124,2025-01-03,Stuart Grudgingst,348466179.0
84078,38740,2025-01-03,Seetharamank,228116416.0
88314,48478,2025-01-03,Leskep,745599139.0
60906,43075,2025-01-03,Siva Govindasamyx,744384293.0
62490,50086,2025-01-03,ernied,660580563.0
149322,45571,2025-01-03,Katharinan,266231677.0
82806,19531,2025-01-03,Alexv,866435193.0
72390,11399,2025-01-03,Alwyn Scottg,800169117.0
112638,12750,2025-01-03,Carrelg,854781111.0
